timestamp,acc_x,acc_y,acc_z
2026-01-01T00:00:00.000Z,0.12,0.84,9.71
2026-01-01T00:00:00.100Z,0.20,0.79,9.75
2026-01-01T00:00:00.200Z,0.34,0.66,9.79
2026-01-01T00:00:00.300Z,0.45,0.51,9.83
2026-01-01T00:00:00.400Z,0.52,0.31,9.86
2026-01-01T00:00:00.500Z,0.56,0.10,9.88
2026-01-01T00:00:00.600Z,0.54,-0.08,9.90
2026-01-01T00:00:00.700Z,0.46,-0.29,9.87
2026-01-01T00:00:00.800Z,0.33,-0.48,9.84
2026-01-01T00:00:00.900Z,0.19,-0.63,9.81
2026-01-01T00:00:01.000Z,0.05,-0.75,9.77
2026-01-01T00:00:01.100Z,-0.09,-0.82,9.73
